0,-1,202,200,92,240,1.0,-1,-1,-1
1,-1,161,535,190,396,1.0,-1,-1,-1
2,-1,244,164,87,235,1.0,-1,-1,-1
3,-1,224,232,114,267,1.0,-1,-1,-1
4,-1,277,250,123,287,1.0,-1,-1,-1
5,-1,379,147,86,251,1.0,-1,-1,-1
6,-1,336,182,99,280,1.0,-1,-1,-1
7,-1,330,412,198,365,1.0,-1,-1,-1
8,-1,494,103,72,171,1.0,-1,-1,-1
9,-1,412,101,94,224,1.0,-1,-1,-1
10,-1,481,213,93,313,1.0,-1,-1,-1
11,-1,476,244,113,299,1.0,-1,-1,-1
12,-1,380,389,161,387,1.0,-1,-1,-1
13,-1,418,413,193,358,1.0,-1,-1,-1
14,-1,510,117,77,249,1.0,-1,-1,-1
15,-1,499,201,98,315,1.0,-1,-1,-1
16,-1,545,291,123,327,1.0,-1,-1,-1
17,-1,539,401,172,368,1.0,-1,-1,-1
18,-1,529,590,172,419,1.0,-1,-1,-1
19,-1,674,69,53,223,1.0,-1,-1,-1
20,-1,651,136,73,269,1.0,-1,-1,-1
21,-1,667,168,108,289,1.0,-1,-1,-1
22,-1,622,271,112,328,1.0,-1,-1,-1
23,-1,642,383,156,384,1.0,-1,-1,-1
24,-1,586,414,148,388,1.0,-1,-1,-1
25,-1,599,519,151,399,1.0,-1,-1,-1
26,-1,745,74,65,214,1.0,-1,-1,-1
27,-1,745,119,84,255,1.0,-1,-1,-1
28,-1,716,226,94,331,1.0,-1,-1,-1
29,-1,674,265,122,349,1.0,-1,-1,-1
30,-1,660,360,140,392,1.0,-1,-1,-1
31,-1,860,221,90,308,1.0,-1,-1,-1
32,-1,829,307,120,360,1.0,-1,-1,-1
33,-1,780,319,142,364,1.0,-1,-1,-1
34,-1,881,195,91,289,1.0,-1,-1,-1
35,-1,990,232,117,227,1.0,-1,-1,-1
36,-1,1125,211,100,307,1.0,-1,-1,-1
37,-1,1089,262,110,324,1.0,-1,-1,-1
38,-1,1073,320,134,377,1.0,-1,-1,-1
39,-1,1107,431,151,383,1.0,-1,-1,-1
40,-1,1177,225,126,308,1.0,-1,-1,-1
41,-1,1168,265,142,325,1.0,-1,-1,-1
42,-1,1138,355,132,389,1.0,-1,-1,-1
43,-1,1128,451,178,417,1.0,-1,-1,-1
44,-1,1150,515,210,408,1.0,-1,-1,-1
45,-1,1157,656,227,369,1.0,-1,-1,-1
46,-1,1293,76,59,166,1.0,-1,-1,-1
47,-1,1297,180,62,202,1.0,-1,-1,-1
48,-1,1257,232,107,265,1.0,-1,-1,-1
49,-1,1250,294,124,346,1.0,-1,-1,-1
50,-1,1245,349,159,315,1.0,-1,-1,-1
51,-1,1255,454,168,394,1.0,-1,-1,-1
52,-1,1214,510,209,400,1.0,-1,-1,-1
53,-1,1213,591,251,405,1.0,-1,-1,-1
54,-1,1411,87,48,174,1.0,-1,-1,-1
55,-1,1398,136,68,201,1.0,-1,-1,-1
56,-1,1390,226,116,227,1.0,-1,-1,-1
57,-1,1386,324,126,295,1.0,-1,-1,-1
58,-1,1352,391,162,357,1.0,-1,-1,-1
59,-1,1301,443,199,373,1.0,-1,-1,-1
60,-1,1304,551,209,392,1.0,-1,-1,-1
61,-1,1326,606,247,383,1.0,-1,-1,-1
62,-1,1504,122,61,142,1.0,-1,-1,-1
63,-1,1486,157,76,205,1.0,-1,-1,-1
64,-1,1488,262,93,215,1.0,-1,-1,-1
65,-1,1404,280,140,247,1.0,-1,-1,-1
66,-1,1367,395,179,356,1.0,-1,-1,-1
67,-1,1526,160,67,170,1.0,-1,-1,-1
68,-1,1576,189,88,215,1.0,-1,-1,-1
69,-1,1521,298,114,254,1.0,-1,-1,-1
70,-1,1466,394,189,348,1.0,-1,-1,-1
71,-1,1495,456,224,363,1.0,-1,-1,-1
72,-1,1498,548,228,400,1.0,-1,-1,-1
73,-1,1421,601,270,406,1.0,-1,-1,-1
74,-1,1655,137,43,106,1.0,-1,-1,-1
75,-1,1657,171,59,155,1.0,-1,-1,-1
76,-1,1599,228,90,198,1.0,-1,-1,-1
77,-1,1605,305,117,233,1.0,-1,-1,-1
78,-1,1689,199,84,142,1.0,-1,-1,-1
79,-1,1696,248,79,182,1.0,-1,-1,-1
80,-1,1698,316,100,209,1.0,-1,-1,-1
